# Evoluation started on 2015/01/27 18:20:03
# Generation	   Best 	   Average 	   Worst
	133		   0.633	  -0.016	  -1.269
	134		   0.685	  -0.065	  -1.288
	135		   0.638	  -0.115	  -1.271
	136		   0.677	  -0.091	  -1.271
	137		   0.651	  -0.030	  -1.259
	138		   0.686	  -0.040	  -1.252
	139		   0.682	   0.002	  -1.275
	140		   0.713	   0.050	  -1.251
	141		   0.730	  -0.045	  -1.260
	142		   0.694	   0.041	  -1.266
	143		   0.632	  -0.115	  -1.282
	144		   0.624	  -0.089	  -1.275
	145		   0.734	   0.084	  -1.271
	146		   0.643	  -0.075	  -1.296
	147		   0.727	  -0.028	  -1.257
	148		   0.646	  -0.075	  -1.264
	149		   0.696	  -0.029	  -1.256
	150		   0.694	   0.014	  -1.265
	151		   0.727	  -0.039	  -1.253
	152		   0.688	  -0.022	  -1.272
	153		   0.752	  -0.014	  -1.281
	154		   0.672	  -0.111	  -1.246
	155		   0.702	  -0.070	  -1.250
	156		   0.649	  -0.046	  -1.282
	157		   0.685	  -0.084	  -1.298
	158		   0.686	  -0.065	  -1.286
	159		   0.744	   0.011	  -1.284
	160		   0.719	  -0.019	  -1.287
	161		   0.690	  -0.063	  -1.273
	162		   0.721	   0.043	  -1.240
	163		   0.742	   0.025	  -1.253
	164		   0.702	  -0.049	  -1.284
	165		   0.746	  -0.057	  -1.265
	166		   0.690	  -0.040	  -1.242
	167		   0.743	   0.014	  -1.285
	168		   0.700	  -0.044	  -1.273
	169		   0.730	  -0.031	  -1.243
	170		   0.674	  -0.016	  -1.240
	171		   0.738	  -0.041	  -1.267
	172		   0.681	  -0.058	  -1.279
	173		   0.678	   0.005	  -1.284
	174		   0.746	  -0.032	  -1.273
	175		   0.696	  -0.048	  -1.281
	176		   0.697	  -0.023	  -1.265
	177		   0.721	  -0.038	  -1.245
	178		   0.691	  -0.062	  -1.235
	179		   0.733	  -0.009	  -1.248
	180		   0.692	  -0.014	  -1.285
	181		   0.703	  -0.023	  -1.241
	182		   0.757	  -0.037	  -1.267
	183		   0.733	  -0.055	  -1.271
	184		   0.738	  -0.080	  -1.250
	185		   0.648	  -0.026	  -1.257
	186		   0.756	   0.008	  -1.258
	187		   0.693	  -0.032	  -1.267
	188		   0.688	   0.019	  -1.261
	189		   0.697	  -0.033	  -1.262
	190		   0.745	  -0.057	  -1.268
	191		   0.676	   0.014	  -1.283
	192		   0.699	   0.033	  -1.133
	193		   0.656	  -0.113	  -1.264
	194		   0.722	  -0.038	  -1.280
	195		   0.733	  -0.011	  -1.237
	196		   0.681	   0.023	  -1.287
	197		   0.698	  -0.027	  -1.270
	198		   0.655	  -0.103	  -1.265
	199		   0.696	  -0.005	  -1.237
	200		   0.754	  -0.002	  -1.243
	201		   0.730	   0.010	  -1.263
	202		   0.736	   0.008	  -1.243
	203		   0.725	  -0.059	  -1.260
	204		   0.720	  -0.086	  -1.254
	205		   0.712	   0.038	  -1.269
	206		   0.704	  -0.035	  -1.253
	207		   0.693	  -0.042	  -1.277
	208		   0.737	   0.005	  -1.264
	209		   0.736	  -0.058	  -1.262
	210		   0.681	  -0.003	  -1.296
	211		   0.738	  -0.045	  -1.247
	212		   0.737	   0.022	  -1.251
	213		   0.785	   0.022	  -1.250
	214		   0.733	  -0.056	  -1.255
	215		   0.699	   0.066	  -1.253
	216		   0.682	   0.057	  -1.285
	217		   0.718	  -0.090	  -1.270
	218		   0.686	  -0.125	  -1.316
	219		   0.747	   0.005	  -1.249
	220		   0.759	   0.007	  -1.261
	221		   0.756	  -0.007	  -1.235
	222		   0.751	  -0.007	  -1.281
	223		   0.793	   0.005	  -1.246
	224		   0.718	  -0.019	  -1.277
	225		   0.664	  -0.053	  -1.275
	226		   0.723	  -0.001	  -1.265
	227		   0.743	   0.084	  -1.279
	228		   0.721	   0.004	  -1.257
	229		   0.704	  -0.026	  -1.289
	230		   0.735	  -0.041	  -1.282
	231		   0.720	  -0.030	  -1.288
	232		   0.754	   0.008	  -1.246
	233		   0.726	  -0.003	  -1.257
	234		   0.744	   0.013	  -1.254
	235		   0.738	   0.060	  -1.259
	236		   0.714	  -0.065	  -1.273
	237		   0.705	   0.006	  -1.244
	238		   0.702	   0.037	  -1.265
	239		   0.749	   0.008	  -1.240
	240		   0.687	   0.039	  -1.269
	241		   0.770	  -0.006	  -1.234
	242		   0.681	  -0.054	  -1.272
	243		   0.714	  -0.073	  -1.262
	244		   0.757	   0.012	  -1.260
	245		   0.763	  -0.027	  -1.261
	246		   0.693	  -0.026	  -1.251
	247		   0.723	  -0.076	  -1.261
	248		   0.758	   0.043	  -1.269
	249		   0.739	   0.051	  -1.287
	250		   0.729	   0.011	  -1.228
	251		   0.728	  -0.066	  -1.266
	252		   0.757	   0.043	  -1.261
	253		   0.715	  -0.002	  -1.267
	254		   0.713	   0.021	  -1.251
	255		   0.729	  -0.050	  -1.268
	256		   0.712	  -0.036	  -1.281
	257		   0.715	   0.023	  -1.264
	258		   0.700	  -0.030	  -1.248
	259		   0.762	  -0.053	  -1.260
	260		   0.698	  -0.032	  -1.281
	261		   0.727	  -0.112	  -1.262
	262		   0.724	   0.017	  -1.264
	263		   0.744	   0.041	  -1.242
	264		   0.726	  -0.041	  -1.274
	265		   0.802	   0.001	  -1.231
